city,geography_code,geography_name,industry_name,number_of_jobs,median_income_dollars
Adelaide,40302,Marion,total,81554,32296
Adelaide,40302,Marion,transport,2054,54418
Adelaide,40302,Marion,wholesale_trade,2275,54042
Adelaide,40303,Mitcham,accommodation_food_services,4414,6764
Adelaide,40303,Mitcham,administrative_support_services,3732,12501
Adelaide,40303,Mitcham,agriculture,315,12382
Adelaide,40303,Mitcham,arts_recreation_services,1353,7394
Adelaide,40303,Mitcham,construction,2229,53718
Adelaide,40303,Mitcham,education_training,6275,39803
Adelaide,40303,Mitcham,electricity,436,114240
Adelaide,40303,Mitcham,finance_insurance_services,2082,55860
Adelaide,40303,Mitcham,health_care_social_assistance,9972,41346
Adelaide,40303,Mitcham,information_media_telecommunications,731,52410
Adelaide,40303,Mitcham,manufacturing,2238,50432
Adelaide,40303,Mitcham,mining,438,140894
Adelaide,40303,Mitcham,other_services,1589,26959
Adelaide,40303,Mitcham,professional,4675,62128
Adelaide,40303,Mitcham,public_administration_safety,3844,69280
Adelaide,40303,Mitcham,rental,765,37766
Adelaide,40303,Mitcham,retail_trade,4421,14778
Adelaide,40303,Mitcham,total,52333,33114
Adelaide,40303,Mitcham,transport,926,51534
Adelaide,40303,Mitcham,wholesale_trade,1411,57953
Adelaide,40304,Onkaparinga,accommodation_food_services,9709,8070
Adelaide,40304,Onkaparinga,administrative_support_services,10579,17149
Adelaide,40304,Onkaparinga,agriculture,1469,15828
Adelaide,40304,Onkaparinga,arts_recreation_services,2012,9165
Adelaide,40304,Onkaparinga,construction,9775,50112
Adelaide,40304,Onkaparinga,education_training,10737,37566
Adelaide,40304,Onkaparinga,electricity,1160,88548
Adelaide,40304,Onkaparinga,finance_insurance_services,5303,40016
Adelaide,40304,Onkaparinga,health_care_social_assistance,22843,39960
Adelaide,40304,Onkaparinga,information_media_telecommunications,1140,42274
Adelaide,40304,Onkaparinga,manufacturing,8875,49216
Adelaide,40304,Onkaparinga,mining,1190,103456
Adelaide,40304,Onkaparinga,other_services,4727,29374
Adelaide,40304,Onkaparinga,professional,7063,48000
Adelaide,40304,Onkaparinga,public_administration_safety,8386,63409
Adelaide,40304,Onkaparinga,rental,1934,31329
Adelaide,40304,Onkaparinga,retail_trade,14675,21162
Adelaide,40304,Onkaparinga,total,130414,33356
Adelaide,40304,Onkaparinga,transport,3653,54799
Adelaide,40304,Onkaparinga,wholesale_trade,4051,53946
Adelaide,40401,Charles Sturt,accommodation_food_services,8386,8280
Adelaide,40401,Charles Sturt,administrative_support_services,8916,13170
Adelaide,40401,Charles Sturt,agriculture,479,14882
Adelaide,40401,Charles Sturt,arts_recreation_services,2383,9831
Adelaide,40401,Charles Sturt,construction,5212,50610
Adelaide,40401,Charles Sturt,education_training,8260,43662
Adelaide,40401,Charles Sturt,electricity,826,83710
Adelaide,40401,Charles Sturt,finance_insurance_services,3911,48644
Adelaide,40401,Charles Sturt,health_care_social_assistance,15342,39104
Adelaide,40401,Charles Sturt,information_media_telecommunications,1211,46162
Adelaide,40401,Charles Sturt,manufacturing,5930,52153
Adelaide,40401,Charles Sturt,mining,725,111280
Adelaide,40401,Charles Sturt,other_services,3512,25210
Adelaide,40401,Charles Sturt,professional,6785,53479
Adelaide,40401,Charles Sturt,public_administration_safety,6937,66817
Adelaide,40401,Charles Sturt,rental,1711,33394
Adelaide,40401,Charles Sturt,retail_trade,9708,17483
Adelaide,40401,Charles Sturt,total,97712,32481
Adelaide,40401,Charles Sturt,transport,3128,56060
Adelaide,40401,Charles Sturt,wholesale_trade,3540,52352
Adelaide,40402,Port Adelaide - West,accommodation_food_services,4545,8892
Adelaide,40402,Port Adelaide - West,administrative_support_services,5224,13674
Adelaide,40402,Port Adelaide - West,agriculture,359,12030
Adelaide,40402,Port Adelaide - West,arts_recreation_services,953,10055
Adelaide,40402,Port Adelaide - West,construction,2690,47639
Adelaide,40402,Port Adelaide - West,education_training,3328,42006
Adelaide,40402,Port Adelaide - West,electricity,441,73646
Adelaide,40402,Port Adelaide - West,finance_insurance_services,1578,36885
Adelaide,40402,Port Adelaide - West,health_care_social_assistance,7579,38218
Adelaide,40402,Port Adelaide - West,information_media_telecommunications,473,36982
Adelaide,40402,Port Adelaide - West,manufacturing,4057,51476
Adelaide,40402,Port Adelaide - West,mining,349,94151
Adelaide,40402,Port Adelaide - West,other_services,2070,22460
Adelaide,40402,Port Adelaide - West,professional,2699,49546
Adelaide,40402,Port Adelaide - West,public_administration_safety,3565,68192
Adelaide,40402,Port Adelaide - West,rental,808,28576
Adelaide,40402,Port Adelaide - West,retail_trade,4652,18598
Adelaide,40402,Port Adelaide - West,total,49774,31124
Adelaide,40402,Port Adelaide - West,transport,2032,58912
Adelaide,40402,Port Adelaide - West,wholesale_trade,1920,50476
Adelaide,40403,West Torrens,accommodation_food_services,6230,8297
Adelaide,40403,West Torrens,administrative_support_services,6323,10575
Adelaide,40403,West Torrens,agriculture,284,9912
Adelaide,40403,West Torrens,arts_recreation_services,1572,9174
Adelaide,40403,West Torrens,construction,2695,45721
Adelaide,40403,West Torrens,education_training,4868,37124
Adelaide,40403,West Torrens,electricity,489,89777
Adelaide,40403,West Torrens,finance_insurance_services,2403,45161
Adelaide,40403,West Torrens,health_care_social_assistance,11195,34918
Adelaide,40403,West Torrens,information_media_telecommunications,713,41508
Adelaide,40403,West Torrens,manufacturing,2800,45500
Adelaide,40403,West Torrens,mining,397,124512
Adelaide,40403,West Torrens,other_services,1780,27450
Adelaide,40403,West Torrens,professional,4394,53800
Adelaide,40403,West Torrens,public_administration_safety,3821,64269
Adelaide,40403,West Torrens,rental,994,33588
Adelaide,40403,West Torrens,retail_trade,5385,17360
Adelaide,40403,West Torrens,total,60340,27902
Adelaide,40403,West Torrens,transport,1615,49060
Adelaide,40403,West Torrens,wholesale_trade,1937,50146
Brisbane,30101,Capalaba,accommodation_food_services,4505,6287
Brisbane,30101,Capalaba,administrative_support_services,4800,19350
Brisbane,30101,Capalaba,agriculture,235,16832
Brisbane,30101,Capalaba,arts_recreation_services,1007,10170
Brisbane,30101,Capalaba,construction,5536,51920
Brisbane,30101,Capalaba,education_training,4712,41059
Brisbane,30101,Capalaba,electricity,540,90402
Brisbane,30101,Capalaba,finance_insurance_services,2613,37996
Brisbane,30101,Capalaba,health_care_social_assistance,8422,39874
Brisbane,30101,Capalaba,information_media_telecommunications,598,33916
Brisbane,30101,Capalaba,manufacturing,3862,59066
Brisbane,30101,Capalaba,mining,440,107311
Brisbane,30101,Capalaba,other_services,2450,25170
Brisbane,30101,Capalaba,professional,4242,57594
Brisbane,30101,Capalaba,public_administration_safety,2755,75967
Brisbane,30101,Capalaba,rental,1232,35238
